passer_pos,shooter_pos,count
C,C,240
C,PF,1105
C,PG,1597
C,SF,1716
C,SG,2311
PF,C,1140
PF,PF,805
PF,PG,1493
PF,SF,1627
PF,SG,2448
PG,C,5017
PG,PF,4072
PG,PG,1570
PG,SF,4755
PG,SG,4899
SF,C,2193
SF,PF,1674
SF,PG,1886
SF,SF,1174
SF,SG,2564
SG,C,3584
SG,PF,3178
SG,PG,2048
SG,SF,3270
SG,SG,3285
