passer_pos,shooter_pos,count
C,C,394
C,PF,807
C,PG,828
C,SF,922
C,SG,916
PF,C,930
PF,PF,606
PF,PG,1165
PF,SF,1109
PF,SG,1143
PG,C,3370
PG,PF,4350
PG,PG,461
PG,SF,3012
PG,SG,2999
SF,C,1335
SF,PF,1548
SF,PG,1010
SF,SF,588
SF,SG,1163
SG,C,1463
SG,PF,1953
SG,PG,926
SG,SF,1271
SG,SG,594
